Date,Day,Month,Year,PM
2/1/2013,1,Jan,2013,12
3/1/2013,2,Jan,2013,15
4/1/2013,3,Jan,2013,12
5/1/2013,4,Jan,2013,17
6/1/2013,5,Jan,2013,24
7/1/2013,6,Jan,2013,25
8/1/2013,7,Jan,2013,20
9/1/2013,8,Jan,2013,16
11/1/2013,9,Jan,2013,11
12/1/2013,10,Jan,2013,16
13/1/2013,11,Jan,2013,17
14/1/2013,12,Jan,2013,20
15/1/2013,13,Jan,2013,21
16/1/2013,14,Jan,2013,28
17/1/2013,15,Jan,2013,23
18/1/2013,16,Jan,2013,20
19/1/2013,17,Jan,2013,29
20/1/2013,18,Jan,2013,19
21/1/2013,19,Jan,2013,18
22/1/2013,20,Jan,2013,9
23/1/2013,21,Jan,2013,13
24/1/2013,22,Jan,2013,15
25/1/2013,23,Jan,2013,18
26/1/2013,24,Jan,2013,13
27/1/2013,25,Jan,2013,14
28/1/2013,26,Jan,2013,17
29/1/2013,27,Jan,2013,18
30/1/2013,28,Jan,2013,18
31/1/2013,29,Jan,2013,13
1/2/2013,30,Feb,2013,12
2/2/2013,31,Feb,2013,11
3/2/2013,32,Feb,2013,12
4/2/2013,33,Feb,2013,12
5/2/2013,34,Feb,2013,12
6/2/2013,35,Feb,2013,13
7/2/2013,36,Feb,2013,19
8/2/2013,37,Feb,2013,16
9/2/2013,38,Feb,2013,12
10/2/2013,39,Feb,2013,12
11/2/2013,40,Feb,2013,13
12/2/2013,41,Feb,2013,9
13/2/2013,42,Feb,2013,14
14/2/2013,43,Feb,2013,12
15/2/2013,44,Feb,2013,11
16/2/2013,45,Feb,2013,12
17/2/2013,46,Feb,2013,13
18/2/2013,47,Feb,2013,15
19/2/2013,48,Feb,2013,20
20/2/2013,49,Feb,2013,18
21/2/2013,50,Feb,2013,17
22/2/2013,51,Feb,2013,24
23/2/2013,52,Feb,2013,19
24/2/2013,53,Feb,2013,15
25/2/2013,54,Feb,2013,9
26/2/2013,55,Feb,2013,8
27/2/2013,56,Feb,2013,10
28/2/2013,57,Feb,2013,10
1/3/2013,58,Mar,2013,10
2/3/2013,59,Mar,2013,10
3/3/2013,60,Mar,2013,11
4/3/2013,61,Mar,2013,15
5/3/2013,62,Mar,2013,21
6/3/2013,63,Mar,2013,19
7/3/2013,64,Mar,2013,18
8/3/2013,65,Mar,2013,18
9/3/2013,66,Mar,2013,24
10/3/2013,67,Mar,2013,26
11/3/2013,68,Mar,2013,28
12/3/2013,69,Mar,2013,26
13/3/2013,70,Mar,2013,23
14/3/2013,71,Mar,2013,23
15/3/2013,72,Mar,2013,15
16/3/2013,73,Mar,2013,11
18/3/2013,74,Mar,2013,16
19/3/2013,75,Mar,2013,18
20/3/2013,76,Mar,2013,22
21/3/2013,77,Mar,2013,17
22/3/2013,78,Mar,2013,15
23/3/2013,79,Mar,2013,14
24/3/2013,80,Mar,2013,18
25/3/2013,81,Mar,2013,23
26/3/2013,82,Mar,2013,25
27/3/2013,83,Mar,2013,25
28/3/2013,84,Mar,2013,25
29/3/2013,85,Mar,2013,22
30/3/2013,86,Mar,2013,18
31/3/2013,87,Mar,2013,21
1/4/2013,88,Apr,2013,15
2/4/2013,89,Apr,2013,10
3/4/2013,90,Apr,2013,15
4/4/2013,91,Apr,2013,29
5/4/2013,92,Apr,2013,23
6/4/2013,93,Apr,2013,36
7/4/2013,94,Apr,2013,46
8/4/2013,95,Apr,2013,49
9/4/2013,96,Apr,2013,42
10/4/2013,97,Apr,2013,35
11/4/2013,98,Apr,2013,21
15/4/2013,99,Apr,2013,9
16/4/2013,100,Apr,2013,16
17/4/2013,101,Apr,2013,13
18/4/2013,102,Apr,2013,17
19/4/2013,103,Apr,2013,21
20/4/2013,104,Apr,2013,24
21/4/2013,105,Apr,2013,28
22/4/2013,106,Apr,2013,21
23/4/2013,107,Apr,2013,23
24/4/2013,108,Apr,2013,28
25/4/2013,109,Apr,2013,22
26/4/2013,110,Apr,2013,22
27/4/2013,111,Apr,2013,20
28/4/2013,112,Apr,2013,14
29/4/2013,113,Apr,2013,18
30/4/2013,114,Apr,2013,23
1/5/2013,115,May,2013,18
2/5/2013,116,May,2013,13
3/5/2013,117,May,2013,14
4/5/2013,118,May,2013,15
5/5/2013,119,May,2013,25
6/5/2013,120,May,2013,11
7/5/2013,121,May,2013,16
8/5/2013,122,May,2013,22
9/5/2013,123,May,2013,18
10/5/2013,124,May,2013,17
12/5/2013,125,May,2013,19
13/5/2013,126,May,2013,22
14/5/2013,127,May,2013,20
15/5/2013,128,May,2013,19
16/5/2013,129,May,2013,20
17/5/2013,130,May,2013,17
18/5/2013,131,May,2013,12
19/5/2013,132,May,2013,21
20/5/2013,133,May,2013,17
21/5/2013,134,May,2013,27
22/5/2013,135,May,2013,13
23/5/2013,136,May,2013,19
24/5/2013,137,May,2013,26
25/5/2013,138,May,2013,14
26/5/2013,139,May,2013,12
27/5/2013,140,May,2013,13
28/5/2013,141,May,2013,12
29/5/2013,142,May,2013,18
30/5/2013,143,May,2013,16
31/5/2013,144,May,2013,22
1/6/2013,145,Jun,2013,23
2/6/2013,146,Jun,2013,17
3/6/2013,147,Jun,2013,13
4/6/2013,148,Jun,2013,14
5/6/2013,149,Jun,2013,15
6/6/2013,150,Jun,2013,13
7/6/2013,151,Jun,2013,19
8/6/2013,152,Jun,2013,14
9/6/2013,153,Jun,2013,11
10/6/2013,154,Jun,2013,10
11/6/2013,155,Jun,2013,11
12/6/2013,156,Jun,2013,17
13/6/2013,157,Jun,2013,19
